nama_penyakit,total_tagihan,total_klaim,total_margin
Pneumonia due to other aerobic Gram-negative bacteria,26261960,53404600,-27142640
"Unspecified diabetes mellitus, with ketoacidosis",6276076,23255400,-16979324
AGRANULOCYTOSIS,6433598,23255400,-16821802
Personal history of long-term (current) use of other medicaments,6433598,23255400,-16821802
Maternal distress during labour and delivery,0,16000400,-16000400
"Gender identity disorder, unspecified",0,11962800,-11962800
Systemic bartonellosis,12845772,23255400,-10409628
Open wound of ankle and foot,5338408,14991100,-9652692
"Respiratory failure, not elsewhere classified",9208283,18575100,-9366817
"Multiple fractures of metacarpal bones, closed",0,9313000,-9313000
NYSTAGMUS &amp; OTHER IRREGULAR E.,0,9277500,-9277500
Injury of small intestine,5279537,13280400,-8000863
Other bursal cyst,4785714,11915000,-7129286
"Fracture of navicular [scaphoid] bone of hand , closed",0,7002300,-7002300
"Supervision of high-risk pregnancy, unspecified",0,6446600,-6446600
"Rupture of bladder, nontraumatic",6504425,12911000,-6406575
Volvulus,0,6274500,-6274500
Embolism and thrombosis of arteries of upper extremities,0,6146000,-6146000
Injury of muscle and tendon at wrist and hand level,5874630,11999900,-6125270
Atrophy of salivary gland,0,5874000,-5874000
External haemorrhoids without complication,0,5752700,-5752700
Other pneumothorax,0,5752100,-5752100
"Labour and delivery complicated by cord complication, unspecified",0,5533600,-5533600
Neoplasm of uncertain or unknown behaviour of other respiratory organs,0,5331100,-5331100
MALNUTRITION IN PREGNANCY,0,5238800,-5238800
Maternal care for other abnormalities of pelvic organs,0,5238800,-5238800
Congenital cyanotic heart disease,0,5078100,-5078100
Maternal care for disproportion of mixed maternal and fetal origin,0,4996200,-4996200
"Unilateral or unspecified inguinal hernia, with obstruction, without gangrene, not specified as recurrent",0,4910800,-4910800
Burn of third degree of head and neck,0,4817700,-4817700
Cerebellar stroke syndrome (I60-I67+),0,4742600,-4742600
Surgical operation with implant of artificial internal device,0,4721000,-4721000
Other specified disorders of iris and ciliary body,0,4583900,-4583900
"Ganglion, hand",0,4580200,-4580200
Other specified protozoal intestinal diseases,0,4543100,-4543100
"Unspecified nephritic syndrome, other",0,4512500,-4512500
"Interstitial pulmonary disease, unspecified",0,4183700,-4183700
"Other intracranial injuries, without open intracranial wound",0,4125500,-4125500
Monoplegia of lower limb,0,4036200,-4036200
Spastic tetraplegia,0,4036200,-4036200
Malignant neoplasm of superior wall of nasopharynx,0,4008400,-4008400
"Fracture of lower leg, part unspecified, closed",7977801,11915000,-3937199
Noninfective neonatal diarrhoea,0,3606600,-3606600
Vomiting in newborn,0,3606600,-3606600
"Sciatica, site unspecified",0,3382200,-3382200
OTHER &amp; UNSPEC.INFECTIOUS DIS.,0,3381400,-3381400
"Juvenile arthritis with systemic onset, site unspecified",0,3315200,-3315200
"Pneumonia due to streptococcus, group B",3188319,6420500,-3232181
Congenital cerebral cysts,2484562,5582900,-3098338
Vascular dementia,1735391,4780900,-3045509
Phosphorus and its compounds,4375634,7393500,-3017866
Lack of adequate food,0,3017700,-3017700
Hyperchylomicronaemia,6317684,9313000,-2995316
Other hypothyroidism,0,2977000,-2977000
Other specified diabetes mellitus with hypoglycaemia,3328186,6262900,-2934714
"Disease of upper respiratory tract, unspecified",0,2885400,-2885400
"Fracture of lower end of humerus, open",0,2885400,-2885400
Anencephaly,2537089,5410300,-2873211
Open wound of ankle,0,2863100,-2863100
"Fracture of shoulder girdle, part unspecified",5151294,8002100,-2850806
