nama_penyakit,total_tagihan,total_klaim,total_margin
"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, childbirth and the puerperium",9359549,2169500,7190049
Toxic effect of unspecified seafood,10090876,3546200,6544676
"Congenital malformation of brain, unspecified",8612155,3733600,4878555
Multiple fractures of metacarpal bones,4413359,0,4413359
Organic hallucinosis,8925002,4512500,4412502
Haemolytic-uraemic syndrome,7571319,3403800,4167519
Leukaemia of unspecified cell type,12469866,8384900,4084966
Other open wounds of ankle and foot,4064503,0,4064503
Stupor,6760606,3209500,3551106
Complete uterovaginal prolapse,8286246,4910800,3375446
Delayed and secondary postpartum haemorrhage,3351665,0,3351665
Other myeloid leukaemia,7460880,4158200,3302680
"Plasmodium falciparum malaria, unspecified",5952681,2826800,3125881
Pain in throat and chest,7261986,4353500,2908486
Fracture of lumbar spine and pelvis,5025444,2269000,2756444
Maternal care for other abnormalities of cervix,5338959,2891300,2447659
Other mucopolysaccharidoses,4733967,2290300,2443667
Diffuse brain injury,2348518,0,2348518
Other specified conditions associated with female genital organs and menstrual cycle,4717364,2404900,2312464
Personal history of other medical treatment,4228247,2173900,2054347
Unspecified abdominal hernia without obstruction or gangrene,6035342,4008400,2026942
"Disorder of external ear, unspecified",5380564,3483600,1896964
Benign neoplasm of rectum,12897406,11076700,1820706
Pedal cyclist injured in collision with pedestrian or animal: Unspecified pedal cyclist injured in traffic accident,5789365,4008400,1780965
Fracture of tooth,6989514,5307700,1681814
Injury of unspecified body region,9412953,7888900,1524053
Gestational oedema,6689530,5238800,1450730
Embolism and thrombosis of unspecified artery,1605724,198700,1407024
"Pyogenic arthritis, unspecified, lower leg",4706724,3333100,1373624
Maternal care for (suspected) central nervous system malformation in fetus,3532819,2173900,1358919
Abnormal posture,3976064,2738300,1237764
UNSPEC.DISOR.OF PSYCHOLO.DEVE.,3976064,2738300,1237764
Duration of pregnancy 34-<37 completed weeks,3336281,2173900,1162381
Suppurative and unspecified otitis media,3099417,1980300,1119117
Traumatic amputation of unspecified part of head,5668882,4580200,1088682
Acute tonsillitis due to other specified organisms,4878643,3848600,1030043
Paratyphoid fever C,5256678,4337000,919678
Malignant neoplasm of nipple and areola,2644971,1728700,916271
"Human immunodeficiency [HIV] disease complicating pregnancy, childbirth and the puerperium",6911346,6103200,808146
"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",6847013,6103200,743813
"Venous complication in pregnancy, unspecified",6847013,6103200,743813
Benign neoplasm of extrahepatic bile ducts,4737813,4008400,729413
Open wound of penis,4689577,4008400,681177
Maternal care for other abnormalities of gravid uterus,7308264,6653700,654564
Maternal hypotension syndrome,3036388,2404900,631488
Erythema multiforme,2387091,1756100,630991
"Other congenital anaemias, not elsewhere classified",4228573,3606600,621973
"Manic episode, unspecified",788628,196100,592528
Prolapsed urethral mucosa,6677432,6103200,574232
Type 2 diabetes mellitus with multiple microvascular complications,5153748,4621000,532748
"Cardiovascular disease, unspecified",2957393,2426400,530993
Labour and delivery complicated by fetal stress [distress],6628224,6103200,525024
