kelompok_umur,nama_penyakit,jumlah_kasus
0-17,Vomiting in newborn,1
0-17,Miliaria profunda,1
0-17,Abnormal posture,1
0-17,"Congenital deformity of feet, unspecified",1
0-17,Achondrogenesis,1
0-17,"Achondrogenesis, unspecified",1
0-17,Achondroplasia,1
0-17,Acquired haemolytic anaemia,1
0-17,Acute gastroenteropathy due to Norwalk agent,1
0-17,"Acute nephritic syndrome, diffuse crescentic glomerulonephritis",1
0-17,Acute tonsillitis due to other specified organisms,1
0-17,Allergic rhinitis due to pollen,1
0-17,Amoebic lung abscess (J99.8*),1
0-17,Anencephaly,1
0-17,Benign neoplasm of aortic body and other paraganglia,1
0-17,Benign neoplasm of bone and articular cartilage,1
0-17,"Benign neoplasm of brain , supratentorial",1
0-17,Benign neoplasm of extrahepatic bile ducts,1
0-17,Viral pharyngoconjunctivitis,1
0-17,"Viral intestinal infection, unspecified",1
0-17,"Unspecified nephritic syndrome, other",1
0-17,UNSPEC.DISOR.OF PSYCHOLO.DEVE.,1
0-17,"Twin, born in hospital",1
0-17,"Trisomy 21, meiotic nondisjunction",1
0-17,Toxic effect of contact with venomous animals,1
0-17,Tinea manuum,1
0-17,Thoracic spina bifida with hydrocephalus,1
0-17,"Syndactyly, unspecified",1
0-17,Surgical operation with implant of artificial internal device,1
0-17,Stuttering [stammering],1
0-17,"Staphylococcal infection, unspecified",1
0-17,Sprain and strain of ulna collateral ligament,1
0-17,Sleep apnoea,1
0-17,"Singleton, born outside hospital",1
0-17,Seborrhoeic dermatitis,1
0-17,Rectal abscess,1
0-17,"Rapidly progressive nephritic syndrome, other",1
0-17,Birth injury to scalp,1
0-17,"Birth injury to scalp, unspecified",1
0-17,Breast engorgement of newborn,1
0-17,Bronchopulmonary dysplasia originating in the perinatal period,1
0-17,"Rapidly progressive nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis",1
0-17,Pulmonary valve atresia,1
0-17,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",1
0-17,Pica of infancy and childhood,1
0-17,Person consulting for explanation of investigation findings,1
0-17,Perifolliculitis capitis abscedens,1
0-17,"Care involving use of rehabilitation procedure, unspecified",1
0-17,"Caught, crushed, jammed or pinched in or between objects",1
0-17,Pedal cyclist injured in collision with pedestrian or animal: Unspecified pedal cyclist injured in traffic accident,1
0-17,"Pain in a joint, pelvic region and thigh",1
0-17,Other vitamin deficiencies,1
0-17,Other urticaria,1
0-17,Other symptoms and signs involving emotional state,1
0-17,Other specified inflammation of eyelid,1
0-17,Other specified conditions of integument specific to fetus and newborn,1
0-17,Other specified conditions associated with female genital organs and menstrual cycle,1
0-17,Other pulmonary aspergillosis,1
0-17,Other myopathies,1
0-17,Other mucopolysaccharidoses,1
0-17,Clubbing of fingers,1
0-17,"Coagulation defect, unspecified",1
0-17,Cold injury syndrome,1
0-17,Other metabolic disorders,1
0-17,Other low birth weight 1000 - 1249g,1
0-17,"Condition of integument specific to fetus and newborn, unspecified",1
0-17,"Other intracranial injuries, without open intracranial wound",1
0-17,Other infestations,1
0-17,Congenital cyanotic heart disease,1
0-17,Fracture of unspecified body region,1
0-17,Other congenital malformations of testis and scrotum,1
0-17,"Congenital malformation of male genital organ, unspecified",1
0-17,Other congenital malformations of male genital organs,1
0-17,Congenital non-neoplastic naevus,1
0-17,"Other congenital anaemias, not elsewhere classified",1
0-17,Congenital stenosis and stricture of lacrimal duct,1
0-17,"Congenital syphilis, unspecified",1
0-17,Constitutional tall stature,1
0-17,Other childhood disorders of social functioning,1
0-17,Other bacterial infections of unspecified site,1
0-17,"Other bacterial foodborne intoxications, not elsewhere classified",1
0-17,Contusion of toe(s) with damage to nail,1
0-17,Other apnoea of newborn,1
0-17,Other abscess of pharynx,1
0-17,"Deficiency of nutrient element, unspecified",1
0-17,Osteitis condensans,1
0-17,Organic hallucinosis,1
0-17,Derangement of other and unspecified lateral meniscus due to old tear or injury,1
0-17,Dermatitis due to ingested food,1
0-17,"Nutritional deficiency, unspecified",1
0-17,"Developmental disorder of scholastic skills, unspecified",1
0-17,NUTRITIONAL AND METABOLIC DIS.,1
0-17,Dilated cardiomyopathy,1
0-17,Nontoxic multinodular goitre,1
0-17,Noninfective neonatal diarrhoea,1
0-17,Neoplasm of uncertain or unknown behaviour of other respiratory organs,1
0-17,"Disorder of brain, unspecified",1
0-17,Neonatal jaundice from breast milk inhibitor,1
0-17,Neonatal infective mastitis,1
0-17,Neonatal diabetes mellitus,1
0-17,Disorders of accommodation,1
0-17,Neonatal coma,1
0-17,"Myopathy, unspecified",1
0-17,"Myoneural disorder, unspecified",1
0-17,Double outlet right ventricle,1
0-17,Drug-induced tics and other tics of organic origin,1
0-17,"Muscle strain, pelvic region and thigh",1
0-17,Dyslexia and alexia,1
0-17,Mumps with other complications,1
0-17,"Eccrine sweat disorder, unspecified",1
0-17,Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,1
0-17,Microphthalmos,1
0-17,"Epilepsy, unspecified, with intractable epilepsy",1
0-17,Erythema infectiosum [fifth disease],1
0-17,"Mental and behavioural disorders due to use of alcohol, acute intoxication",1
0-17,Wheezing,1
0-17,Measles with other complications,1
0-17,Lymphangitis,1
0-17,"Juvenile rheumatoid arthritis, lower leg",1
0-17,"Juvenile osteochondrosis of tibia and fibula, shoulder region",1
0-17,"Juvenile arthritis with systemic onset, site unspecified",1
0-17,Foreign body in mouth,1
0-17,"Irritant contact dermatitis, unspecified cause",1
0-17,Intermediate hyperglycaemia with neurological complication,1
0-17,Fracture of coccyx,1
0-17,Insect bite of wrist and hand,1
0-17,Infantile hemiplegia,1
0-17,"Fracture of lower end of humerus, open",1
0-17,"Indeterminate sex, unspecified",1
0-17,Heat syncope,1
0-17,"Fracture of malar and maxillary bones, closed",1
0-17,Haemolytic-uraemic syndrome,1
0-17,"Fracture of shaft of radius, open",1
0-17,GRANULOMA INGUINALE,1
0-17,Granuloma annulare,1
0-17,"Gastroduodenitis, unspecified",1
18-40,Vulvar cyst,1
18-40,"Noninfective disorder of lymphatic vessels and lymph nodes, unspecified",1
18-40,Acute lymphadenitis of trunk,1
18-40,"Ankylosis of joint, lower leg",1
18-40,Fracture of tooth,1
18-40,Viral and other specified intestinal infections,1
18-40,"Venous complication in pregnancy, unspecified",1
18-40,Attention to surgical dressings and sutures,1
18-40,Gingival enlargement,1
18-40,Gonococcal infection,1
18-40,Gonococcal infection of musculoskeletal system,1
18-40,Gonococcal peritonitis (A54.8+),1
18-40,"Unspecified deforming dorsopathy, cervical region",1
18-40,Autoimmune polyglandular failure,1
18-40,Fracture of symphysis of body,1
18-40,"Fracture of shoulder girdle, part unspecified",1
18-40,Ulcerative (chronic) rectosigmoiditis,1
18-40,Haemorrhage in early pregnancy,1
18-40,"Type 2 diabetes mellitus with ketoacidosis, without coma",1
18-40,"Benign neoplasm of central nervous system, unspecified",1
18-40,"Tuberculosis of spine, lumbar region (A18.0+)",1
18-40,Toxic effect of unspecified seafood,1
18-40,Toxic effect of contact with unspecified venomous animal,1
18-40,Incomplete and partial hydatidiform mole,1
18-40,Third degree perineal laceration during delivery,1
18-40,"Fracture of lower end of femur, closed",1
18-40,Supervision of pregnancy with history of insufficient antenatal care,1
18-40,Supervision of normal first pregnancy,1
18-40,Injury of bladder,1
18-40,"Supervision of high-risk pregnancy, unspecified",1
18-40,Superficial injury of thorax,1
18-40,"Sprain and strain of wrist, part unspecified",1
18-40,"Special screening examination for neoplasm, unspecified",1
18-40,"Special examination, unspecified",1
18-40,Secondary dysmenorrhoea,1
18-40,Injury of unspecified body region,1
18-40,"Sciatica, site unspecified",1
18-40,"Schizoaffective disorder, depressive type",1
18-40,"Internal derangement of knee, unspecified",1
18-40,Sacral spina bifida without hydrocephalus,1
18-40,"Rheumatoid bursitis, multiple sites",1
18-40,"Rheumatoid arthritis, unspecified, forearm",1
18-40,Prolapsed urethral mucosa,1
18-40,"Pregnancy-related condition, unspecified",1
18-40,PRE-EXISTING HYPERTENSIVE  DIS,1
18-40,"Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium",1
18-40,Fetus and newborn affected by surgical procedure on mother,1
18-40,"Labour and delivery complicated by cord complication, unspecified",1
18-40,Labour and delivery complicated by fetal stress [distress],1
18-40,Candidiasis,1
18-40,Personal history of other medical treatment,1
18-40,Long labour,1
18-40,Other specified inflammation of vagina and vulva,1
18-40,Other specified disorders of brain in diseases classified elsewhere,1
18-40,"Lymphangioma, any site",1
18-40,"Other specified diabetes mellitus, without complications",1
18-40,Other specific personality disorders,1
18-40,Chronic sinusitis,1
18-40,Malignant neoplasm of connective and soft tissue of thorax,1
18-40,"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",1
18-40,Abnormal involuntary movements,1
18-40,Congenital cerebral cysts,1
18-40,Other hypothyroidism,1
18-40,Other female pelvic inflammatory diseases,1
18-40,Other disorders following mastoidectomy,1
18-40,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, childbirth and the puerperium",1
18-40,Other diseases of anus and rectum,1
18-40,Malignant neoplasm of superior wall of nasopharynx,1
18-40,Malignant neoplasm of testis,1
18-40,MALNUTRITION IN PREGNANCY,1
18-40,"Malunion of fracture, pelvic region and thigh",1
18-40,"Manic episode, unspecified",1
18-40,Maternal care for (suspected) central nervous system malformation in fetus,1
18-40,Maternal care for disproportion of mixed maternal and fetal origin,1
18-40,Maternal care for other abnormalities of cervix,1
18-40,Other depressive episodes,1
18-40,Maternal care for other abnormalities of pelvic organs,1
18-40,Maternal distress during labour and delivery,1
18-40,Maternal hypotension syndrome,1
18-40,"Congenital malformation of brain, unspecified",1
18-40,"Congenital malformation of peripheral vascular system, unspecified",1
18-40,Erythema multiforme,1
18-40,Embolism and thrombosis of unspecified artery,1
18-40,Other congenital functional disorders of colon,1
18-40,Moderate cervical dysplasia,1
18-40,Contusion of external genital organs,1
18-40,"Contusion of lower limb, level unspecified",1
18-40,Other and unspecified skin changes,1
18-40,"Crohn's disease, unspecified",1
18-40,"Multiple fractures of metacarpal bones, closed",1
18-40,"Dysplasia of cervix uteri, unspecified",1
18-40,Duration of pregnancy 34-<37 completed weeks,1
18-40,OTHER &amp; UNSPEC.INFECTIOUS DIS.,1
18-40,"Myeloid leukaemia, unspecified",1
18-40,Disorders of visual cortex,1
18-40,"Disorders of teeth and supporting structures, unspecified",1
18-40,Organic mood [affective] disorders,1
18-40,Delayed and secondary postpartum haemorrhage,1
18-40,"Disease of upper respiratory tract, unspecified",1
18-40,"Disorder of central nervous system, unspecified",1
41-60,Congenital absence and aplasia of penis,1
41-60,"Follicular non-hodgkin's lymphoma, unspecified",1
41-60,Polyarthrosis,1
41-60,"Dislocation, sprain and strain of joints and ligaments of knee",1
41-60,"Neuralgia and neuritis, unspecified, hand",1
41-60,Neurofibromatosis (nonmalignant),1
41-60,Other interstitial pulmonary diseases with fibrosis,1
41-60,Dislocation of midtarsal (joint),1
41-60,Nonspecific urethritis,1
41-60,"Disorder of lipoprotein metabolism, unspecified",1
41-60,Diffuse brain injury,1
41-60,Dermatitis due to unspecified substance taken internally,1
41-60,NYSTAGMUS &amp; OTHER IRREGULAR E.,1
41-60,Volvulus,1
41-60,Other inflammation of eyelid,1
41-60,"Gastric ulcer, chronic or unspecified with both haemorrhage and perforation",1
41-60,Genetic anomalies of leukocytes,1
41-60,Urethral abscess,1
41-60,Organic anxiety disorder,1
41-60,Disorders of gallbladder and biliary tract in diseases classified elsewhere,1
41-60,Necrotizing fasciitis,1
41-60,Gestational oedema,1
41-60,Muscular dystrophy,1
41-60,Multiple fractures of metacarpal bones,1
41-60,"Unspecified diabetes mellitus, with ketoacidosis",1
41-60,"Fracture of navicular [scaphoid] bone of hand , closed",1
41-60,Other and unspecified lesions of oral mucosa,1
41-60,Type 2 diabetes mellitus with multiple microvascular complications,1
41-60,Hereditary choroidal dystrophy,1
41-60,Monoplegia of upper limb,1
41-60,"Human immunodeficiency [HIV] disease complicating pregnancy, childbirth and the puerperium",1
41-60,Acute periodontitis,1
41-60,"Contact with venomous snakes and lizards, Home",1
41-60,Traumatic arthropathy,1
41-60,Congenital single renal cyst,1
41-60,Traumatic amputation of unspecified part of head,1
41-60,Examination for period of rapid growth in childhood,1
41-60,External haemorrhoids without complication,1
41-60,"Ankylosing spondylitis, site unspecified",1
41-60,Hypertrophy of (infrapatellar) fat pad,1
41-60,Other difficulties with micturition,1
